#CROSS REFERENCE MI	CROSS REFERENCE NAME	INCLUDE CHILDREN	REF TYPE MI	REF TYPE NAME	INCLUDE CHILDREN	MESSAGE LEVEL
MI:0486	uniprot knowledge base	FALSE	MI:0356	identical object	FALSE	REQUIRED
MI:0481	Ref-seq	FALSE	MI:0356	identical object	FALSE	REQUIRED
MI:0481	Ref-seq	FALSE	MI:0360	secondary accession number	FALSE	REQUIRED
