CvA term name	CvA term id	apply to CvA children terms	CvB term name	CvB term id	apply to CvB children terms	"is CvA CvB instance combination expected (NO-error, YES-ok, MAYBE-weird)"
       anti bait coimmunoprecipitation 	MI:0006	FALSE	suppressed gene	MI:0582	FALSE	NO
       anti bait coimmunoprecipitation 	MI:0006	FALSE	suppressor gene	MI:0581	FALSE	NO
       anti bait coimmunoprecipitation 	MI:0006	FALSE	unspecified role	MI:0499	FALSE	MAYBE
       anti tag coimmunoprecipitation 	MI:0007	FALSE	experimental role	MI:0495	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	ancillary	MI:0684	FALSE	YES
       anti tag coimmunoprecipitation 	MI:0007	FALSE	bait	MI:0496	FALSE	YES
       anti tag coimmunoprecipitation 	MI:0007	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	fluorescence donor	MI:0583	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	neutral component	MI:0497	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	prey	MI:0498	FALSE	YES
       anti tag coimmunoprecipitation 	MI:0007	FALSE	putative self	MI:0898	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	self	MI:0503	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	suppressed gene	MI:0582	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	suppressor gene	MI:0581	FALSE	NO
       anti tag coimmunoprecipitation 	MI:0007	FALSE	unspecified role	MI:0499	FALSE	MAYBE
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	experimental role	MI:0495	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	ancillary	MI:0684	FALSE	YES
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	bait	MI:0496	FALSE	YES
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	fluorescence donor	MI:0583	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	neutral component	MI:0497	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	prey	MI:0498	FALSE	YES
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	putative self	MI:0898	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	self	MI:0503	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	suppressed gene	MI:0582	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	suppressor gene	MI:0581	FALSE	NO
       immunodepleted coimmunoprecipitation 	MI:0858	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	experimental role	MI:0495	FALSE	NO
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	ancillary	MI:0684	FALSE	YES
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	bait	MI:0496	FALSE	YES
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	fluorescence acceptor	MI:0584	FALSE	MAYBE
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	fluorescence donor	MI:0583	FALSE	MAYBE
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	neutral component	MI:0497	FALSE	NO
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	prey	MI:0498	FALSE	YES
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	putative self	MI:0898	FALSE	NO
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	MAYBE
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	self	MI:0503	FALSE	NO
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	suppressed gene	MI:0582	FALSE	NO
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	suppressor gene	MI:0581	FALSE	NO
      luminescence based mammalian interactome mapping 	MI:0729	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      pull down 	MI:0096	FALSE	experimental role	MI:0495	FALSE	NO
      pull down 	MI:0096	FALSE	ancillary	MI:0684	FALSE	YES
      pull down 	MI:0096	FALSE	bait	MI:0496	FALSE	YES
      pull down 	MI:0096	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      pull down 	MI:0096	FALSE	fluorescence donor	MI:0583	FALSE	NO
      pull down 	MI:0096	FALSE	neutral component	MI:0497	FALSE	NO
      pull down 	MI:0096	FALSE	prey	MI:0498	FALSE	YES
      pull down 	MI:0096	FALSE	putative self	MI:0898	FALSE	NO
      pull down 	MI:0096	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      pull down 	MI:0096	FALSE	self	MI:0503	FALSE	NO
      pull down 	MI:0096	FALSE	suppressed gene	MI:0582	FALSE	NO
      pull down 	MI:0096	FALSE	suppressor gene	MI:0581	FALSE	NO
      pull down 	MI:0096	FALSE	unspecified role	MI:0499	FALSE	MAYBE
      tandem affinity purification 	MI:0676	FALSE	experimental role	MI:0495	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	ancillary	MI:0684	FALSE	YES
      tandem affinity purification 	MI:0676	FALSE	bait	MI:0496	FALSE	YES
      tandem affinity purification 	MI:0676	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	fluorescence donor	MI:0583	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	neutral component	MI:0497	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	prey	MI:0498	FALSE	YES
      tandem affinity purification 	MI:0676	FALSE	putative self	MI:0898	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	self	MI:0503	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	suppressed gene	MI:0582	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	suppressor gene	MI:0581	FALSE	NO
      tandem affinity purification 	MI:0676	FALSE	unspecified role	MI:0499	FALSE	MAYBE
     array technology 	MI:0008	FALSE	experimental role	MI:0495	FALSE	NO
     array technology 	MI:0008	FALSE	ancillary	MI:0684	FALSE	NO
     array technology 	MI:0008	FALSE	bait	MI:0496	FALSE	YES
     array technology 	MI:0008	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
     array technology 	MI:0008	FALSE	fluorescence donor	MI:0583	FALSE	NO
     array technology 	MI:0008	FALSE	neutral component	MI:0497	FALSE	NO
     array technology 	MI:0008	FALSE	prey	MI:0498	FALSE	YES
     array technology 	MI:0008	FALSE	putative self	MI:0898	FALSE	NO
     array technology 	MI:0008	FALSE	fluorescence acceptor donor pair	MI:0865	FALSE	NO
     array technology 	MI:0008	FALSE	self	MI:0503	FALSE	NO
     array technology 	MI:0008	FALSE	suppressed gene	MI:0582	FALSE	NO
     array technology 	MI:0008	FALSE	suppressor gene	MI:0581	FALSE	NO
     array technology 	MI:0008	FALSE	unspecified role	MI:0499	FALSE	YES
      antibody array 	MI:0678	FALSE	experimental role	MI:0495	FALSE	NO
      antibody array 	MI:0678	FALSE	ancillary	MI:0684	FALSE	NO
      antibody array 	MI:0678	FALSE	bait	MI:0496	FALSE	YES
      antibody array 	MI:0678	FALSE	fluorescence acceptor	MI:0584	FALSE	NO
      antibody array 	MI:0678	FALSE	fluorescence donor	MI:0583	FALSE	NO
      antibody array 	MI:0678	FALSE	neutral component	MI:0497	FALSE	NO
